tweet_id,safe_text,label,agreement
YMRMEDME,mickeys measles gone international,0.0,1.0
5GV8NEZS,s1256 new extends exemption charitable immunity certain civil actions persons age,0.0,1.0
EI10PS46,user ignorance vaccines isnt dangerous innocent child others around shame,1.0,0.6666666666666666
OM26E6DG,pakistan partly suspends polio vaccination program terrorists kill health workers,0.0,1.0
NBBY86FX,news ive gone like 1000 mmr,0.0,1.0
LNIH6DYP,vaccines changed course us disease time,0.0,0.6666666666666666
P93QRRP9,user cdc highest number us measles cases first five months year since 1994 user,0.0,0.6666666666666666
ZCZ08I3K,user shld put statement user shameful user tells fb followers worry measles,-1.0,0.3333333333333333
1TIDQ8T3,user vaccines causes brain swelling fever seizures ultimately brain damage encephalitis autism read package inserts,-1.0,1.0
3M07O2A6,user hearthiswell vaccines r linked 2 autism ibd peds note mmr 15 mos cdcwhistleblower breakabillion b1less,-1.0,1.0
QSHW6MHQ,new recommended immunization schedules cdc,0.0,0.6666666666666666
SFS1RIG6,mom whose child died catching chicken pox advocates vaccines,1.0,0.6666666666666666
1ML1LUUS,friend user measles night awana club 1 measle every verse memorized 31 awa,0.0,1.0
XUAQBFT3,great overview hpv amp hpv vaccines user,0.0,0.6666666666666666
Z92OIYVT,user ill make sure post get mmr,0.0,0.6666666666666666
2HOYSY0P,authentic ebola vaccine black plague black death vaccine yersinia pestis vaccine hiv vaccine,0.0,1.0
YQ08Z4HT,hope unvaccinated kid gives jim belushi measles rt user user jenny mccarthy,1.0,1.0
6P9XNJCZ,vaccinate damn kids bc kids cannot get vaccines real harmful purposes gonna danger kids,1.0,0.6666666666666666
7NP3F1WJ,user explorers gave native americans blankets deliberately infected measles killing 90 population,0.0,1.0
HPNH7D2N,hey everyone kid shoot em vaccines aint tryna die shit thats preventable ja feel,1.0,1.0
W17AD10P,ok user ever u blessed child please get rugrat vaccinated,1.0,1.0
MHACZZCM,couldnt pay enough vaccinate child way hell notachance,-1.0,1.0
HP96CIQQ,4th case measles san mateo county got bart train millbrae last friday 430pm amp got civic center sf,0.0,1.0
9YSRNFA6,user science andor medical degree stop spreading lies vaccines stupid choice plz keep private,1.0,1.0
5T7RMAPZ,hb2101 new public finance whistleblower liberty fund act immunity award funds effective date,0.0,1.0
B46MPMDE,aint illest nigga im new vaccine really like poison,0.0,1.0
LEW9CR9T,user measles vaccine safe effective amp kids need booster mapit,1.0,1.0
KCFZ4YVU,user measles may hit wisconsin dammit,1.0,1.0
JDRS6D2E,user vaccine available growing measles chicken pox fun even german measles,0.0,0.6666666666666666
S7I6OG7B,gop defending freedom get measles pay medical care clunky bumper sticker p2 uniteblue,1.0,0.6666666666666666
4GWYDZG2,every time try put 50 shades yoga pants get measles thelightersideofrecentcontroversies,0.0,1.0
8IHLFOCR,study 95000 kids finds link mmr vaccine autism,0.0,0.6666666666666666
6EP73PSR,sharks best immunity diseases known man deadly diseases like cancer affect sharks,0.0,1.0
7TGFZ50T,user spoiler alertanswer vaccinate user protecting newborns whooping cough,1.0,1.0
KKO96UA8,user fda admits court case murderousirresponsibility continues old debunked accusations spammers vaccines,0.0,0.6666666666666666
GNKN8BSQ,vaccineswork u right 2 watch child die disease people dont want stupid american white people problems,1.0,0.6666666666666666
LV0G8EV9,white christian ppl arent safe anymore ebola obama illegals guncontrol freecommunitycollege measles disney god cbs,0.0,0.6666666666666666
Z3P15498,ever want babies better willing child vaccinated vaccinateyourkids,1.0,1.0
9T6QA1CE,indiana health officials suggest flu vaccinations dogs via user dogsrock prevent,1.0,0.6666666666666666
N7A7EOSF,user barack obama urges vaccinations rt repubs vaccinate children,1.0,1.0
7HALCG0P,fucking tweet user think vaccines give child autism probably autism,1.0,1.0
79NNLJD1,good back user user hookem genetics vaccines health,0.0,0.6666666666666666
AYZTN5G0,cooties immunization user kidlegislation,0.0,1.0
SKMZ8N2N,us schoolchoice charterschools could require thier students vaccinated amp public schools would full unvaccinated kids,0.0,0.6666666666666666
DTEUR07O,cdc honors 33 childhood immunization champions niiw,1.0,0.6666666666666666
RW5FZ5I4,sure sharyl attkisson vaccine truther sure ask lot questions,0.0,0.6666666666666666
F6YUD60P,measles outbreak precautionary principle via user,0.0,0.6666666666666666
6D2L6C2G,nah everybody got measles user tryna go disneyland spring break,0.0,0.6666666666666666
AON17ATX,user new ringtone pass vaccinate kids mitch benn,1.0,1.0
SAZD2ARB,childrens museum houston offer free vaccinations,1.0,0.6666666666666666
9U7TFNO7,user 1 5 children wo lifesaving vaccines pls change amp put immunizationfirst user summit agenda,1.0,1.0
G9N9AMPC,user antivaccination parents risk everybodys lives rarely call behavior criminalized,1.0,1.0
PKQ52RL2,cdc hpv vaccine reduced disease rates teen girls 56 percent credit robyn beckafpgetty imagesboston,1.0,0.6666666666666666
6CLOAT0H,parents refusing vaccinate children brought back measles whooping cough tuberculosis socal,1.0,0.6666666666666666
PNRF6FX9,disown relative saying vaccines kill kids save idiotolympics vaccinations cantfixstupid,1.0,1.0
IX6M4EMA,vaccinate kids0please people,1.0,1.0
FTJI39IG,disney tie hides biggest measles risk adults catch bloomberg business,0.0,1.0
UQJTX0LS,california governor signs strict school vaccine legislation gov jerry brown wasted time tuesday signing,1.0,1.0
72OFUVD1,amid growing vaccination debate measles continues spread new york state via user,0.0,0.6666666666666666
EY5XT7E5,let people dont want vaccinate kids give vaccines kids latin america africa,0.0,1.0
ZKURTNG4,user rarely see arguments vaccination actually big deal,0.0,0.6666666666666666
2N6FLVEX,visitors long grove menards may exposed measles lake county health department issued warning,0.0,1.0
